Ticker,URL,Company Name
AAGIY,https://www.investing.com/equities/aia-group-ltd-technical,AIA Group Limited
AAPL,https://www.investing.com/equities/apple-computer-inc-technical,Apple Inc.
ABBV,https://www.investing.com/equities/abbvie-inc-technical,AbbVie Inc.
ADBE,https://www.investing.com/equities/adobe-inc-technical,Adobe Inc.
ADI,https://www.investing.com/equities/analog-devices-technical,Analog Devices, Inc.
ADSK,https://www.investing.com/equities/autodesk-inc-technical,Autodesk, Inc.
ADYEY,https://www.investing.com/equities/adyen-nv-otc-technical,Adyen N.V.
AEM,https://www.investing.com/equities/agnico-eagle-mines-technical,Agnico Eagle Mines Limited
AJG,https://www.investing.com/equities/arthur-j.-gallagher---co-technical,Arthur J. Gallagher & Co.
ALL,https://www.investing.com/equities/allstate-corp-technical,The Allstate Corporation
ALNY,https://www.investing.com/equities/alnylam-pharmaceuticals-technical,Alnylam Pharmaceuticals, Inc.
AMAT,https://www.investing.com/equities/applied-matls-inc-technical,Applied Materials, Inc.
AMT,https://www.investing.com/equities/amer-tower-corp-technical,American Tower Corporation
AMX,https://www.investing.com/equities/america-movil-technical,América Móvil, S.A.B. de C.V.
AMZN,https://www.investing.com/equities/amazon-com-inc-technical,Amazon.com, Inc.
ANET,https://www.investing.com/equities/arista-networks-technical,Arista Networks Inc
AON,https://www.investing.com/equities/aon-corp-technical,Aon plc
APD,https://www.investing.com/equities/air-prods---chem-technical,Air Products and Chemicals, Inc.
APH,https://www.investing.com/equities/amphenol-corp-technical,Amphenol Corporation
APO,https://www.investing.com/equities/apollo-globl-man-technical,Apollo Global Management, Inc.
ARES,https://www.investing.com/equities/ares-management-lp-technical,Ares Management Corporation
ARM,https://www.investing.com/equities/arm-technical,Arm Holdings plc
ASML,https://www.investing.com/equities/asml-holding-technical,ASML Holding N.V.
AVGO,https://www.investing.com/equities/avago-technologies-technical,Broadcom Inc.
AXON,https://www.investing.com/equities/taser-intl-technical,Axon Enterprise, Inc.
AZO,https://www.investing.com/equities/autozone-inc-technical,AutoZone, Inc.
B,https://www.investing.com/equities/barrick-gold-corp.-technical,Barrick Mining Corporation
BA,https://www.investing.com/equities/boeing-co-technical,The Boeing Company
BABA,https://www.investing.com/equities/alibaba-technical,Alibaba Group Holding Limited
BAC,https://www.investing.com/equities/bank-of-america-technical,Bank of America Corporation
BAESY,https://www.investing.com/equities/bae-systems-plc-technical,BAE Systems plc
BCS,https://www.investing.com/equities/barclays-plc-technical,Barclays PLC
BK,https://www.investing.com/equities/bk-of-ny-technical,The Bank of New York Mellon Corporation
BKNG,https://www.investing.com/equities/booking-holdings-inc-technical,Booking Holdings Inc.
BN,https://www.investing.com/equities/brookfield-technical,Brookfield Corporation
BSX,https://www.investing.com/equities/boston-scien-cp-technical,Boston Scientific Corporation
C,https://www.investing.com/equities/citigroup-technical,Citigroup Inc.
CARR,https://www.investing.com/equities/carrier-global-corp-technical,Carrier Global Corporation
CDNS,https://www.investing.com/equities/cadence-design-system-inc-technical,Cadence Design Systems, Inc.
CEG,https://www.investing.com/equities/constellation-energy-technical,Constellation Energy Corporation
CHCJY,https://www.investing.com/equities/china-citic-bank-adr-technical,China CITIC Bank Corporation Limited
CI,https://www.investing.com/equities/cigna-corp-technical,The Cigna Group
CL,https://www.investing.com/equities/colgate-palmolive-company-technical,Colgate-Palmolive Company
